Time,zone_id,no_of_ppl,zone_name
15:44:00,3,33,East Courtyard
15:49:00,3,35,East Courtyard
15:54:00,3,34,East Courtyard
16:00:00,3,24,East Courtyard
16:05:00,3,27,East Courtyard
16:10:00,3,19,East Courtyard
16:15:00,3,20,East Courtyard
16:21:00,3,15,East Courtyard
16:26:00,3,16,East Courtyard
16:31:00,3,17,East Courtyard
16:36:00,3,17,East Courtyard
16:42:00,3,16,East Courtyard
16:47:00,3,13,East Courtyard
16:52:00,3,11,East Courtyard
16:57:00,3,7,East Courtyard
17:03:00,3,6,East Courtyard
17:08:00,3,5,East Courtyard
17:13:00,3,5,East Courtyard
17:18:00,3,4,East Courtyard
17:24:00,3,4,East Courtyard
17:29:00,3,4,East Courtyard
17:34:00,3,4,East Courtyard
17:40:00,3,3,East Courtyard
17:45:00,3,3,East Courtyard
17:50:00,3,3,East Courtyard
17:55:00,3,3,East Courtyard
09:00:00,4,0,Palace Inside 1
09:05:00,4,0,Palace Inside 1
09:11:00,4,0,Palace Inside 1
09:16:00,4,0,Palace Inside 1
09:21:00,4,0,Palace Inside 1
09:26:00,4,1,Palace Inside 1
09:32:00,4,1,Palace Inside 1
09:37:00,4,1,Palace Inside 1
09:42:00,4,2,Palace Inside 1
09:47:00,4,2,Palace Inside 1
09:52:00,4,2,Palace Inside 1
09:58:00,4,2,Palace Inside 1
10:03:00,4,2,Palace Inside 1
10:08:00,4,2,Palace Inside 1
10:13:00,4,3,Palace Inside 1
10:19:00,4,3,Palace Inside 1
10:24:00,4,3,Palace Inside 1
10:29:00,4,3,Palace Inside 1
10:34:00,4,4,Palace Inside 1
10:40:00,4,4,Palace Inside 1
10:45:00,4,7,Palace Inside 1
10:50:00,4,10,Palace Inside 1
10:55:00,4,12,Palace Inside 1
11:00:00,4,13,Palace Inside 1
11:06:00,4,12,Palace Inside 1
11:11:00,4,14,Palace Inside 1
11:16:00,4,14,Palace Inside 1
11:21:00,4,18,Palace Inside 1
11:27:00,4,17,Palace Inside 1
11:32:00,4,19,Palace Inside 1
11:37:00,4,19,Palace Inside 1
11:42:00,4,21,Palace Inside 1
11:48:00,4,19,Palace Inside 1
11:53:00,4,18,Palace Inside 1
11:58:00,4,21,Palace Inside 1
12:03:00,4,22,Palace Inside 1
12:09:00,4,21,Palace Inside 1
12:14:00,4,22,Palace Inside 1
12:19:00,4,20,Palace Inside 1
12:24:00,4,20,Palace Inside 1
12:30:00,4,19,Palace Inside 1
12:35:00,4,27,Palace Inside 1
12:40:00,4,22,Palace Inside 1
12:45:00,4,20,Palace Inside 1
12:51:00,4,23,Palace Inside 1
12:56:00,4,22,Palace Inside 1
13:01:00,4,22,Palace Inside 1
13:06:00,4,23,Palace Inside 1
13:12:00,4,21,Palace Inside 1
13:17:00,4,19,Palace Inside 1
13:22:00,4,22,Palace Inside 1
13:27:00,4,21,Palace Inside 1
13:33:00,4,23,Palace Inside 1
13:38:00,4,23,Palace Inside 1
13:43:00,4,24,Palace Inside 1
13:48:00,4,28,Palace Inside 1
13:54:00,4,24,Palace Inside 1
13:59:00,4,27,Palace Inside 1
14:04:00,4,23,Palace Inside 1
14:09:00,4,23,Palace Inside 1
14:15:00,4,24,Palace Inside 1
14:20:00,4,21,Palace Inside 1
14:25:00,4,26,Palace Inside 1
14:30:00,4,23,Palace Inside 1
14:36:00,4,28,Palace Inside 1
14:41:00,4,29,Palace Inside 1
14:46:00,4,29,Palace Inside 1
14:51:00,4,28,Palace Inside 1
14:57:00,4,24,Palace Inside 1
15:02:00,4,23,Palace Inside 1
15:07:00,4,24,Palace Inside 1
15:12:00,4,21,Palace Inside 1
15:18:00,4,18,Palace Inside 1
15:23:00,4,17,Palace Inside 1
15:28:00,4,18,Palace Inside 1
15:33:00,4,19,Palace Inside 1
15:39:00,4,16,Palace Inside 1
15:44:00,4,16,Palace Inside 1
15:49:00,4,16,Palace Inside 1
15:54:00,4,19,Palace Inside 1
16:00:00,4,17,Palace Inside 1
16:05:00,4,16,Palace Inside 1
16:10:00,4,14,Palace Inside 1
16:15:00,4,12,Palace Inside 1
16:21:00,4,11,Palace Inside 1
16:26:00,4,11,Palace Inside 1
16:31:00,4,11,Palace Inside 1
16:36:00,4,11,Palace Inside 1
16:42:00,4,10,Palace Inside 1
16:47:00,4,9,Palace Inside 1
16:52:00,4,9,Palace Inside 1
16:57:00,4,9,Palace Inside 1
17:03:00,4,8,Palace Inside 1
17:08:00,4,8,Palace Inside 1
17:13:00,4,8,Palace Inside 1
17:18:00,4,8,Palace Inside 1
17:24:00,4,8,Palace Inside 1
17:29:00,4,8,Palace Inside 1
17:34:00,4,8,Palace Inside 1
17:40:00,4,7,Palace Inside 1
17:45:00,4,7,Palace Inside 1
17:50:00,4,7,Palace Inside 1
17:55:00,4,7,Palace Inside 1
09:00:00,5,0,Stables Exhibition
09:05:00,5,0,Stables Exhibition
09:11:00,5,0,Stables Exhibition
09:16:00,5,0,Stables Exhibition
09:21:00,5,0,Stables Exhibition
09:26:00,5,0,Stables Exhibition
09:32:00,5,0,Stables Exhibition
09:37:00,5,0,Stables Exhibition
09:42:00,5,0,Stables Exhibition
09:47:00,5,0,Stables Exhibition
09:52:00,5,0,Stables Exhibition
09:58:00,5,0,Stables Exhibition
10:03:00,5,0,Stables Exhibition
10:08:00,5,0,Stables Exhibition
10:13:00,5,0,Stables Exhibition
