SerialID,ReadingDate,ReadingTime,FootfallCount,ZoneID,Description
0004A30B00EC80A5_countA,07/01/2024,15:03:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,15:13:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,15:23:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,15:33:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,15:48:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countA,07/01/2024,15:53:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,08:23:38,2,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,08:28:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,08:38:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,08:43:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,08:53:38,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,10:38:38,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:08:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:13:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:23:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:33:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:38:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:43:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:48:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:53:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,11:58:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:03:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:08:37,5,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:13:37,6,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:23:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:28:37,5,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:33:37,6,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:38:37,8,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:43:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:48:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:53:37,7,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,12:58:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:03:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:13:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:18:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:23:37,11,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:28:37,6,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:33:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:38:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:43:38,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:48:38,9,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,13:58:37,10,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:03:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:08:37,6,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:13:37,9,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:18:37,6,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:23:37,3,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:28:37,5,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:33:37,11,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:38:37,9,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:43:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:48:37,14,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:53:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,14:58:37,9,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:03:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:08:37,7,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:13:37,4,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:18:37,2,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:23:37,9,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:28:37,1,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:33:37,5,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:48:37,7,7,Churchill Exhibition
0004A30B00EC80A5_countB,07/01/2024,15:53:37,5,7,Churchill Exhibition
0004A30B00ECB6D6_countA,07/01/2024,08:50:15,1,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,09:05:15,1,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,09:35:15,6,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,09:50:15,3,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,10:05:15,7,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,10:20:15,4,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,10:35:15,14,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,10:50:15,15,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,11:05:15,32,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,11:20:15,17,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,11:35:15,19,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,11:50:15,20,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,12:05:15,21,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,12:20:15,43,6,Stables Cafe
0004A30B00ECB6D6_countA,07/01/2024,12:35:15,27,6,Stables Cafe
